,0
120,7.349056895610041
121,7.341237781053275
122,7.3348006284364855
123,7.328711190308146
124,7.322975085516388
125,7.318191229590229
126,7.314228583604574
127,7.310526323010957
128,7.307296098732235
129,7.306947962695914
130,7.307383055462491
131,7.307706322302264
132,7.307923685106619
133,7.308039463917841
134,7.308056626794177
135,7.30797701613123
136,7.307801553228237
137,7.3112853615866245
138,7.3149348895122435
139,7.318662668145343
140,7.322468301067465
141,7.326350604433829
142,7.330307800767609
143,7.334337691819189
144,7.338437812235561
145,7.342605565665339
146,7.346981219858259
147,7.3515946660512395
148,7.356332483239793
149,7.361181373864879
150,7.366128371635042
151,7.3718426778024275
152,7.379720323593071
153,7.390873568885148
154,7.403486497360383
155,7.416095125373234
156,7.428656421646407
157,7.4411596926361785
158,7.453592929398615
159,7.4682330261975505
160,7.483175038715253
161,7.498166400553456
162,7.513016362875393
163,7.528083119824153
164,7.543034019961034
165,7.557778513894531
166,7.573867022417014
167,7.58975631418526
168,7.6052530135035035
169,7.620348787691085
170,7.635035313200503
171,7.649304320346513
172,7.663147631279061
173,7.680161965964888
174,7.697311002600694
175,7.716865508990877
176,7.738186927510395
177,7.758643945294683
178,7.778808002126357
179,7.799265831204234
180,7.818800174649419
181,7.837425852330356
182,7.855265740012379
183,7.8723681379870225
184,7.888630741764054
185,7.904062581243335
186,7.91867165534757
187,7.932465043646536
188,7.945509540623916
189,7.958044952461584
190,7.969750820336723
191,7.980662921172228
192,7.991150204292755
193,8.000871825286877
194,8.009825344514908
195,8.018118186352487
196,8.026712685021762
197,8.034692174790552
198,8.041723459906585
199,8.04782271452544
200,8.053005126082242
201,8.057284937739508
202,8.06067549281617
203,8.0631892806561
204,8.064837983449218
205,8.065632523569857
206,8.065583111044972
207,8.064699290809704
208,8.06298998944925
209,8.060463561164733
210,8.05712783273618
211,8.052990147288735
212,8.048057406698236
213,8.04233611250002
214,8.035832405189984
215,8.028552101829865
216,8.020749461156601
217,8.012426890798677
218,8.003382940480657
219,7.993624592509342
220,7.983158824545781
221,7.971992621064075
222,7.960132984564624
223,7.948060618527675
224,7.935820180779821
225,7.92303361225376
226,7.910041711946675
227,7.897955025960069
228,7.885308828446541
229,7.872101407470383
230,7.858331688086139
231,7.843999194868373
232,7.829104018143608
233,7.813705506737981
234,7.797841682642936
235,7.781411151950571
236,7.764417674857916
237,7.746865332062533
238,7.728758515185924
239,7.710101917290028
240,7.690900523397847
241,7.671159600948908
242,7.650884690137413
243,7.6300815940957625
244,7.608756368898933
245,7.586915313376057
246,7.564564958724824
247,7.541712057932119
248,7.518428486114158
249,7.495797136119674
250,7.472820468927255
251,7.449376725187736
252,7.425471763465022
253,7.401143686740123
254,7.376560649432813
255,7.351500043763396
256,7.325969520763515
257,7.29997679106572
258,7.273529643938151
259,7.246635961430058
260,7.219303728205038
